column,dtype,n_missing,pct_missing,n_unique,min,max
id,object,0,0.0,40535,,
programme,object,0,0.0,3,,
instrument,object,0,0.0,3,,
prof_haut,float64,0,0.0,235,0.0,278.0
prof_bas,float64,0,0.0,269,1.0,300.0
sand,float64,0,0.0,15024,0.0,100.0
silt,float64,0,0.0,15819,0.0,94.4806
clay,float64,0,0.0,16206,0.0,96.8969
classe_usda,object,0,0.0,12,,
lon,float64,498,1.229,24216,-172.3633,153.017
lat,float64,498,1.229,23687,-38.6667,70.2806
n_scans,int64,0,0.0,6,1.0,7.0
L400-L450 (11 cols),float64,243881,54.696,,0.0198,1.0
L455-L2500 (410 cols),float64,0,0.0,,0.0229,1.0
